email_id,response
E001,Your order for 4 Leather Bifold Wallet has been processed successfully.
E002,Your order for 1 Vibrant Tote has been processed successfully.
E004,Your order for 4 Infinity Scarf has been processed successfully.
E007,"Unfortunately, your order for Cable Knit Beanie could not be fulfilled due to insufficient stock. Please let us know if you would like to choose a different product from our catalog or wait for a restock."
E007,Your order for 2 Fuzzy Slippers has been processed successfully.
E008,Your order for 1 Versatile Scarf has been processed successfully.
E010,Your order for 1 Retro Sunglasses has been processed successfully.
E013,"Sorry, the product could not be determined from your message. To assist us in completing your order, could you please provide the specific product names and quantities you wish to purchase?"
E014,Your order for 1 Sleek Wallet has been processed successfully.
E017,"Sorry, the product details could not be determined from your message. To assist us in completing your order, could you please provide the specific product names and quantities you wish to purchase?"
E018,"Sorry, the product could not be determined from your message. To assist us in completing your order, could you please provide the specific product names and quantities you wish to purchase?"
E019,Your order for 1 Chelsea Boots has been processed successfully.
